,0,test_filter
0,Song Fa Bak Kut Teh,Lunch
1,Yum Cha,Lunch
2,Mikawa Japanese Sake Bar & Restaurant, Lunch
3,Kinara,Lunch
4,Turo Turo,Lunch
5,Wang Cafe,Lunch
6,Fun Toast,Lunch
7,Sushi Zanmai,Lunch
8,Gourmet Pizza To Go!,Lunch
9,Just Salad,Lunch
10,Killiney Kopitiam,Lunch
11,Lemon and Herbs Rotisserie,Lunch
12,Ananda Bhavan Restaurant,Lunch
