,name,test_filter
0,Greenwitch Salad,Lunch
1,Foodcourt,Lunch
2,Ras Bites, Lunch
3,Baba King Nonya Deli & Restaurant,Lunch
4,Saravanaa Bhavan,Lunch
5,Mr Teh Tarik,Lunch
6,Sou's Noodle Restaurant,Lunch
7,Platypus Food Bar,Lunch
