,name,test_filter
0,KFC,Lunch
1,Lan Kwai Fong,Lunch
2,Anjappar Authentic Chettinaad Restaurant,Lunch
3,Siu Fun Dong,Lunch
4,White Water East,Lunch
5,OBriens Irish Sandwich Bar,Lunch
